raw,nemo,number_parser,raw_indic_conformer,raw_google_speech,raw_slang_google_speech,nemo_indic_conformer,nemo_google_speech,nemo_slang_google_speech,np_indic_conformer,np_google_speech,np_slang_google_speech
"show starter and put twenty one rupees in the amount,show starter and put 21 rupees in the amount","show starter and put rs21 in the amount,show starter and put 21 rupees in the amount","show starter and put 21 rupees in the amount,show starter and put 21 rupees in the amount",shows gather and put twentyone rupees in amount,show scanner and put 21 rupees in amount,show scanner and put 21 rupees in amount,shows gather and put rs21 in amount,show scanner and put 21 rupees in amount,show scanner and put 21 rupees in amount,shows gather and put twentyone rupees in amount,show scanner and put 21 rupees in amount,show scanner and put 21 rupees in amount
"pay my DTH bill,pay my dth bill","pay my dth bill,pay my dth bill","pay my dth bill,pay my dth bill",pay may dth bill,pay my dth bill,pay my dth bill,pay may dth bill,pay my dth bill,pay my dth bill,pay may dth bill,pay my dth bill,pay my dth bill
"please pay the minimum of five thousand rupees for my credit card bill,please pay the minimum of 500 rupees for my credit card bill","please pay the minimum of rs5000 for my credit card bill,please pay the minimum of 500 rupees for my credit card bill","please pay the minimum of 5000 rupees for my credit card bill,please pay the minimum of 500 rupees for my credit card bill",please pay the minimum of five thousand rupees for my credit card bill,please pay the minimum of 5000 rupees for my credit card bill,please pay the minimum of 5000 rupees for my credit card bill,please pay the minimum of rs5000 for my credit card bill,please pay the minimum of 5000 rupees for my credit card bill,please pay the minimum of 5000 rupees for my credit card bill,please pay the minimum of 5000 rupees for my credit card bill,please pay the minimum of 5000 rupees for my credit card bill,please pay the minimum of 5000 rupees for my credit card bill
"check the IPO listed in my App,check the ipo listed in my app","check the ipo listed in my app,check the ipo listed in my app","check the ipo listed in my app,check the ipo listed in my app",check the ipo listed in my app,check the ip listed in my app,check the ip listed in my app,check the ipo listed in my app,check the ip listed in my app,check the ip listed in my app,check the ipo listed in my app,check the ip listed in my app,check the ip listed in my app
"send one thousand to satish,send 1000 to satish","send 1000 to satish,send 1000 to satish","send 1000 to satish,send 1000 to satish",send one thousand to satish,send 1000 to satish,send 1000 to satish,send 1000 to satish,send 1000 to satish,send 1000 to satish,send 1000 to satish,send 1000 to satish,send 1000 to satish
"i want to clear my DTH outstanding,i want to clear my dth outstanding","i want to clear my dth outstanding,i want to clear my dth outstanding","i want to clear my dth outstanding,i want to clear my dth outstanding",i want to clear my dth outstanding,i want to clear my dth outstanding,i want to clear my dth outstanding,i want to clear my dth outstanding,i want to clear my dth outstanding,i want to clear my dth outstanding,i want to clear my dth outstanding,i want to clear my dth outstanding,i want to clear my dth outstanding
"show me offers,show me offers","show me offers,show me offers","show me offers,show me offers",show me offers,show me offers,show me offers,show me offers,show me offers,show me offers,show me offers,show me offers,show me offers
"send two hundred to Dr. Aishwarya for her consultation fees,send 200 to dr. aishwarya for her consultation fees","send 200 to dr aishwarya for her consultation fees,send 200 to dr aishwarya for her consultation fees","send 200 to dr aishwarya for her consultation fees,send 200 to dr aishwarya for her consultation fees",sent two hundred to dodr asharia for her consultation fees,send 202 doctor aishwarya for her consultation fees,send 202 doctor aishwarya for her consultation fees,sent 200 to dodr asharia for her consultation fees,send 202 dr. aishwarya for her consultation fees,send 202 dr. aishwarya for her consultation fees,sent 200 to dodr asharia for her consultation fees,send 202 doctor aishwarya for her consultation fees,send 202 doctor aishwarya for her consultation fees
"pull up QR code scanner I want to pay,pull up qr code scanner i want to pay","pull up qr code scanner i want to pay,pull up qr code scanner i want to pay","pull up qr code scanner i want to pay,pull up qr code scanner i want to pay",pull up q r code scanner i want to pay,pull up qr code scanner i want to pay,pull up qr code scanner i want to pay,pull up q r code scanner i want to pay,pull up qr code scanner i want to pay,pull up qr code scanner i want to pay,pull up q r code scanner i want to pay,pull up qr code scanner i want to pay,pull up qr code scanner i want to pay
"pay five hundred rupees has DTH bill,pay 500 rupees has dth bill","pay rs500 has dth bill,pay 500 rupees has dth bill","pay 500 rupees has dth bill,pay 500 rupees has dth bill",pay five hundred rupees as ths bill,pay 500 rupees as dth bill,pay 500 rupees as dth bill,pay rs500 as ths bill,pay 500 rupees as dth bill,pay 500 rupees as dth bill,pay 500 rupees as ths bill,pay 500 rupees as dth bill,pay 500 rupees as dth bill
"request three hundred rupees from vishnu,request 300 rupees from vishnu","request rs300 from vishnu,request 300 rupees from vishnu","request 300 rupees from vishnu,request 300 rupees from vishnu",request three hundred rupees from vishnu,request 300 rupees from vishnu,request 300 rupees from vishnu,request rs300 from vishnu,request 300 rupees from vishnu,request 300 rupees from vishnu,request 300 rupees from vishnu,request 300 rupees from vishnu,request 300 rupees from vishnu
"pay my electricity bill,pay my electricity bill","pay my electricity bill,pay my electricity bill","pay my electricity bill,pay my electricity bill",pay my electricity bill,pay my electricity bill,pay my electricity bill,pay my electricity bill,pay my electricity bill,pay my electricity bill,pay my electricity bill,pay my electricity bill,pay my electricity bill
"Accept payment from razorpay,accept payment from razorpay","accept payment from razorpay,accept payment from razorpay","accept payment from razorpay,accept payment from razorpay",accept payment from raiser pay,accept payment from razer pay,accept payment from razer pay,accept payment from raiser pay,accept payment from razer pay,accept payment from razer pay,accept payment from raiser pay,accept payment from razer pay,accept payment from razer pay
"show me any offers which are there in the app,show me any offers which are there in the app","show me any offers which are there in the app,show me any offers which are there in the app","show me any offers which are there in the app,show me any offers which are there in the app",show me any offers which are there in the app,show me any offers which are there in the app,show me any offers which are there in the app,show me any offers which are there in the app,show me any offers which are there in the app,show me any offers which are there in the app,show me any offers which are there in the app,show me any offers which are there in the app,show me any offers which are there in the app
"one thousand from jagan,1000 from jagan","1000 from jagan,1000 from jagan","1000 from jagan,1000 from jagan",weousan from ogan,1057,1057,weousan from ogan,1057,1057,weousan from ogan,1057,1057
"send two hundred rupees to my dad,send 200 rupees to my dad","send rs200 to my dad,send 200 rupees to my dad","send 200 rupees to my dad,send 200 rupees to my dad",send two hundred rupees to my dad,send 200 rupees to my dad,send 200 rupees to my dad,send rs200 to my dad,send 200 rupees to my dad,send 200 rupees to my dad,send 200 rupees to my dad,send 200 rupees to my dad,send 200 rupees to my dad
"transfer ten thousand,transfer 10000","transfer 10000,transfer 10000","transfer 10000,transfer 10000",transfer ten,transfer 10000,transfer 10000,transfer ten,transfer 10000,transfer 10000,transfer 10,transfer 10000,transfer 10000
"can u gift hundred bucks to my friend,can u gift 100 bucks to my friend","can u gift hundred bucks to my friend,can u gift 100 bucks to my friend","can u gift 100 bucks to my friend,can u gift 100 bucks to my friend",can you gift hundred bucks to my friend,can you gift hundred bucks to my friend,can you gift hundred bucks to my friend,can you gift hundred bucks to my friend,can you gift hundred bucks to my friend,can you gift hundred bucks to my friend,can you gift 100 bucks to my friend,can you gift 100 bucks to my friend,can you gift 100 bucks to my friend
"ask vaishnav to pay five hundred rupees,ask vaishnav to pay five hundred rupees","ask vaishnav to pay rs500,ask vaishnav to pay rs500","ask vaishnav to pay 500 rupees,ask vaishnav to pay 500 rupees",ask ayshnav to pay five hundred rupees,ask vaishnavi to pay 500 rupees,ask vaishnavi to pay 500 rupees,ask ayshnav to pay rs500,ask vaishnavi to pay 500 rupees,ask vaishnavi to pay 500 rupees,ask ayshnav to pay 500 rupees,ask vaishnavi to pay 500 rupees,ask vaishnavi to pay 500 rupees
"please ask dr. aishwarya to send one thousand rupees as a refund,please ask dr. aishwarya to send 1000 rupees as a refund","please ask dr aishwarya to send rs1000 as a refund,please ask dr aishwarya to send 1000 rupees as a refund","please ask dr aishwarya to send 1000 rupees as a refund,please ask dr aishwarya to send 1000 rupees as a refund",please ask dr ashwaria to send one thousand rupees as a refund,as a refund,as a refund,please ask dr ashwaria to send rs1000 as a refund,as a refund,as a refund,please ask dr ashwaria to send 1000 rupees as a refund,as a refund,as a refund
"check my account balance,check my account balance","check my account balance,check my account balance","check my account balance,check my account balance",check my accun balance,check my account balance,check my account balance,check my accun balance,check my account balance,check my account balance,check my accun balance,check my account balance,check my account balance
"scan and pay five hundred rupees,scan and pay 500 rupees","scan and pay rs500,scan and pay 500 rupees","scan and pay 500 rupees,scan and pay 500 rupees",scan and pay five hundred rupees,scan and pay 500 rupees,scan and pay 500 rupees,scan and pay rs500,scan and pay 500 rupees,scan and pay 500 rupees,scan and pay 500 rupees,scan and pay 500 rupees,scan and pay 500 rupees
"four hundred,400","400,400","400,400",four hundred,400,400,400,400,400,400,400,400
"please show QR code scanner,please show qr code scanner","please show qr code scanner,please show qr code scanner","please show qr code scanner,please show qr code scanner",please show your code scanner,please show qr code scanner,please show qr code scanner,please show your code scanner,please show qr code scanner,please show qr code scanner,please show your code scanner,please show qr code scanner,please show qr code scanner
"pay my phone bill to airtel,pay my phone bill to airtel","pay my phone bill to airtel,pay my phone bill to airtel","pay my phone bill to airtel,pay my phone bill to airtel",pay my phone bill to etel,pay my phone bill to airtel,pay my phone bill to airtel,pay my phone bill to etel,pay my phone bill to airtel,pay my phone bill to airtel,pay my phone bill to etel,pay my phone bill to airtel,pay my phone bill to airtel
"i want to make a transaction to ajay four hundred rupees,i want to make a transaction to ajay 400 rupees","i want to make a transaction to ajay rs400,i want to make a transaction to ajay 400 rupees","i want to make a transaction to ajay 400 rupees,i want to make a transaction to ajay 400 rupees",i want to make a transaction to a j four hundred rupees,i want to make a transaction to ajay 400 rupees,i want to make a transaction to ajay 400 rupees,i want to make a transaction to a j rs400,i want to make a transaction to ajay 400 rupees,i want to make a transaction to ajay 400 rupees,i want to make a transaction to a j 400 rupees,i want to make a transaction to ajay 400 rupees,i want to make a transaction to ajay 400 rupees
"thre four zero zero pnb account please tell the balance,3400 pnb account please tell the balance","thre 400 pnb account please tell the balance,3400 pnb account please tell the balance","thre 400 pnb account please tell the balance,3400 pnb account please tell the balance",three fourzzero pnb bank account please tell the balance,3400 pnb bank account please tell the balance,3400 pnb bank account please tell the balance,three fourzzero pnb bank account please tell the balance,3400 pnb bank account please tell the balance,3400 pnb bank account please tell the balance,3 fourzzero pnb bank account please tell the balance,3400 pnb bank account please tell the balance,3400 pnb bank account please tell the balance
"give tulsi a gift of six hundred rupees,give tulsi a gift of 600 rupees","give tulsi a gift of rs600,give tulsi a gift of 600 rupees","give tulsi a gift of 600 rupees,give tulsi a gift of 600 rupees",give tlasi a gift of six hundred rupees,give tulasi a gift of 600 rupees,give tulasi a gift of 600 rupees,give tlasi a gift of rs600,give tulasi a gift of 600 rupees,give tulasi a gift of 600 rupees,give tlasi a gift of 600 rupees,give tulasi a gift of 600 rupees,give tulasi a gift of 600 rupees
"show me my transactions,show me my transactions","show me my transactions,show me my transactions","show me my transactions,show me my transactions",show me my transactions,show me my transactions,show me my transactions,show me my transactions,show me my transactions,show me my transactions,show me my transactions,show me my transactions,show me my transactions
"bank balance,bank balance","bank balance,bank balance","bank balance,bank balance",bank balance,bank balance,bank balance,bank balance,bank balance,bank balance,bank balance,bank balance,bank balance
"pay my gas bill,pay my gas bill","pay my gas bill,pay my gas bill","pay my gas bill,pay my gas bill",pay my gas bill,pay my gas bill,pay my gas bill,pay my gas bill,pay my gas bill,pay my gas bill,pay my gas bill,pay my gas bill,pay my gas bill
"how much have i spent in last month,how much have i spent in last month","how much have i spent in last month,how much have i spent in last month","how much have i spent in last month,how much have i spent in last month",how much have i spent in last month,how much time i spent in last month,how much time i spent in last month,how much have i spent in last month,how much time i spent in last month,how much time i spent in last month,how much have i spent in last month,how much time i spent in last month,how much time i spent in last month
"approve my current payments,approve my current payments","approve my current payments,approve my current payments","approve my current payments,approve my current payments",approve my current payments,approve my current payments,approve my current payments,approve my current payments,approve my current payments,approve my current payments,approve my current payments,approve my current payments,approve my current payments
"i would like to make a donation to akshaya patra,i would like to make a donation to akshaya patra","i would like to make a donation to akshaya patra,i would like to make a donation to akshaya patra","i would like to make a donation to akshaya patra,i would like to make a donation to akshaya patra",i would like to make a donation to aksaya patra,i would like to make a donation to akshaya patra,i would like to make a donation to akshaya patra,i would like to make a donation to aksaya patra,i would like to make a donation to akshaya patra,i would like to make a donation to akshaya patra,i would like to make a donation to aksaya patra,i would like to make a donation to akshaya patra,i would like to make a donation to akshaya patra
"infinite,infinite","infinite,infinite","infinite,infinite",infinite,infinite,infinite,infinite,infinite,infinite,infinite,infinite,infinite
"open QR code,open qr code","open qr code,open qr code","open qr code,open qr code",open qre code,open qr code,open qr code,open qre code,open qr code,open qr code,open qre code,open qr code,open qr code
"donation to PM cares fund,donation to pm cares fund","donation to pm cares fund,donation to pm cares fund","donation to pm cares fund,donation to pm cares fund",donation to pm cairs fund,donation to pm cares fund,donation to pm cares fund,donation to pm cairs fund,donation to pm cares fund,donation to pm cares fund,donation to pm cairs fund,donation to pm cares fund,donation to pm cares fund
"last transaction,last transaction","last transaction,last transaction","last transaction,last transaction",last transaction,last transaction,last transaction,last transaction,last transaction,last transaction,last transaction,last transaction,last transaction
"approve my current transaction,approve my current transaction","approve my current transaction,approve my current transaction","approve my current transaction,approve my current transaction",approve my current transaction,approve my current transaction,approve my current transaction,approve my current transaction,approve my current transaction,approve my current transaction,approve my current transaction,approve my current transaction,approve my current transaction
"can you donate two thousand rupees on my behalf to the PM care fund,can you donate 2000 rupees on my behalf to the pm care fund","can you donate rs2000 on my behalf to the pm care fund,can you donate 2000 rupees on my behalf to the pm care fund","can you donate 2000 rupees on my behalf to the pm care fund,can you donate 2000 rupees on my behalf to the pm care fund",can you donate two thousand rupees on my behalf to the pmcare fund,can you donate 2000 rupees on my behalf to the pm care fund,can you donate 2000 rupees on my behalf to the pm care fund,can you donate rs2000 on my behalf to the pmcare fund,can you donate 2000 rupees on my behalf to the pm care fund,can you donate 2000 rupees on my behalf to the pm care fund,can you donate 2000 rupees on my behalf to the pmcare fund,can you donate 2000 rupees on my behalf to the pm care fund,can you donate 2000 rupees on my behalf to the pm care fund
"i want to invest in the nykaa IPO,i want to invest in the nykaa ipo","i want to invest in the nykaa ipo,i want to invest in the nykaa ipo","i want to invest in the nykaa ipo,i want to invest in the nykaa ipo",i want to invest in the naika ipo,i want to invest in the nai kai po,i want to invest in the nai kai po,i want to invest in the naika ipo,i want to invest in the nai kai po,i want to invest in the nai kai po,i want to invest in the naika ipo,i want to invest in the nai kai po,i want to invest in the nai kai po
"donate five thousand rupees to the ,donate 5000 rupees to the","donate rs5000 to the,donate 5000 rupees to the","donate 5000 rupees to the,donate 5000 rupees to the",donate five thousan rupees to the,donate 5000 rupees to the,donate 5000 rupees to the,donate five thousan rupees to the,donate 5000 rupees to the,donate 5000 rupees to the,donate 5 thousan rupees to the,donate 5000 rupees to the,donate 5000 rupees to the
"open QR code to scan and pay thousand rupees ,open qr code to scan and pay 1000 rupees","open qr code to scan and pay thousand rupees,open qr code to scan and pay 1000 rupees","open qr code to scan and pay 1000 rupees,open qr code to scan and pay 1000 rupees",open qr code to scan and pay thousand rupees,open qr code to scan and pay 1000 rupees,open qr code to scan and pay 1000 rupees,open qr code to scan and pay thousand rupees,open qr code to scan and pay 1000 rupees,open qr code to scan and pay 1000 rupees,open qr code to scan and pay 1000 rupees,open qr code to scan and pay 1000 rupees,open qr code to scan and pay 1000 rupees
"send five hundred rupees to Dr. neelam for her dental consultation fees,send 500 rupees to dr. neelam for her dental consultation fees","send rs500 to dr neelam for her dental consultation fees,send 500 rupees to dr neelam for her dental consultation fees","send 500 rupees to dr neelam for her dental consultation fees,send 500 rupees to dr neelam for her dental consultation fees",sent five hundred rupees to dr neelm for her dental consultation fees,send 500 rupees to doctor neelam for her dental consultation fees,send 500 rupees to doctor neelam for her dental consultation fees,sent rs500 to dr neelm for her dental consultation fees,send 500 rupees to dr. neelam for her dental consultation fees,send 500 rupees to dr. neelam for her dental consultation fees,sent 500 rupees to dr neelm for her dental consultation fees,send 500 rupees to doctor neelam for her dental consultation fees,send 500 rupees to doctor neelam for her dental consultation fees
"pay my fastag bill,pay my fastag bill","pay my fastag bill,pay my fastag bill","pay my fastag bill,pay my fastag bill",pay my first tag bill,pay my fastrack bill,pay my fastrack bill,pay my 1st tag bill,pay my fastrack bill,pay my fastrack bill,pay my first tag bill,pay my fastrack bill,pay my fastrack bill
"request four hundred from anjali,request 400 from anjali","request 400 from anjali,request 400 from anjali","request 400 from anjali,request 400 from anjali",request four hundred from angele,request 400 from anjali,request 400 from anjali,request 400 from angele,request 400 from anjali,request 400 from anjali,request 400 from angele,request 400 from anjali,request 400 from anjali
"show my account balance for HDFC account,show my account balance for hdfc account","show my account balance for hdfc account,show my account balance for hdfc account","show my account balance for hdfc account,show my account balance for hdfc account",show my account balance for hdfc account,show my account balance for hdfc account,show my account balance for hdfc account,show my account balance for hdfc account,show my account balance for hdfc account,show my account balance for hdfc account,show my account balance for hdfc account,show my account balance for hdfc account,show my account balance for hdfc account
"transfer ten thousand to EVG abhi,transfer 10000 to evg abhi","transfer 10000 to evg abhi,transfer 10000 to evg abhi","transfer 10000 to evg abhi,transfer 10000 to evg abhi",transfer ten thousand to ev g a b,transferred 10000 to abhi,transferred 10000 to abhi,transfer 10000 to ev g a b,transferred 10000 to abhi,transferred 10000 to abhi,transfer 10000 to ev g a b,transferred 10000 to abhi,transferred 10000 to abhi
"pay my internet bill,pay my internet bill","pay my internet bill,pay my internet bill","pay my internet bill,pay my internet bill",pay my internet bill,pay my internet bill,pay my internet bill,pay my internet bill,pay my internet bill,pay my internet bill,pay my internet bill,pay my internet bill,pay my internet bill
"PO,po","po,po","po,po",beal,,,beal,,,beal,,
"pay my cable bill for two hundred and fifty two rupees,pay my cable bill for 252 rupees","pay my cable bill for rs252,pay my cable bill for 252 rupees","pay my cable bill for 252 rupees,pay my cable bill for 252 rupees",pay my cable bill for two hundred and fifty two rupees,pay my cable bill for 252 rupees,pay my cable bill for 252 rupees,pay my cable bill for rs252,pay my cable bill for 252 rupees,pay my cable bill for 252 rupees,pay my cable bill for 252 rupees,pay my cable bill for 252 rupees,pay my cable bill for 252 rupees
"any offers if i do payment of five thousand to a person,any offers if i do payment of 5000 to a person","any offers if i do payment of 5000 to a person,any offers if i do payment of 5000 to a person","any offers if i do payment of 5000 to a person,any offers if i do payment of 5000 to a person",any offers if i do payment of five thousand to a person,any offers if i do payment of 5000 to a person,any offers if i do payment of 5000 to a person,any offers if i do payment of 5000 to a person,any offers if i do payment of 5000 to a person,any offers if i do payment of 5000 to a person,any offers if i do payment of 5000 to a person,any offers if i do payment of 5000 to a person,any offers if i do payment of 5000 to a person
"get five hundred rupees from dad,get 500 rupees from dad","get rs500 from dad,get 500 rupees from dad","get 500 rupees from dad,get 500 rupees from dad",get five hundred rupees from dad,get 500 rupees from dad,get 500 rupees from dad,get rs500 from dad,get 500 rupees from dad,get 500 rupees from dad,get 500 rupees from dad,get 500 rupees from dad,get 500 rupees from dad
"hey pay all the pending request,hey pay all the pending request","hey pay all the pending request,hey pay all the pending request","hey pay all the pending request,hey pay all the pending request",hey pay all the pending requests,hey pay all the pending request,hey pay all the pending request,hey pay all the pending requests,hey pay all the pending request,hey pay all the pending request,hey pay all the pending requests,hey pay all the pending request,hey pay all the pending request
"gift vijay six thousand rupees,gift vijay 6000 rupees","gift vijay rs6000,gift vijay 6000 rupees","gift vijay 6000 rupees,gift vijay 6000 rupees",gift j six thousand rupees,gift vijay 6000 rupees,gift vijay 6000 rupees,gift j rs6000,gift vijay 6000 rupees,gift vijay 6000 rupees,gift j 6000 rupees,gift vijay 6000 rupees,gift vijay 6000 rupees
"send six thousand to hariharan,send 6000 to hariharan","send 6000 to hariharan,send 6000 to hariharan","send 6000 to hariharan,send 6000 to hariharan",send six thousand to hary headen,send 6002,send 6002,send 6000 to hary headen,send 6002,send 6002,send 6000 to hary headen,send 6002,send 6002
"request shradha to send two hundred rupees and 11 rupees also to me,request shradha to send 211 rupees also to me","request shradha to send rs200 and 11 rupees also to me,request shradha to send 211 rupees also to me","request shradha to send 200 rupees and 11 rupees also to me,request shradha to send 211 rupees also to me",request radha to send two hundred rupees and eleven rupees also to me,request adhatu send 200 rupees and 11 rupees also to me,request adhatu send 200 rupees and 11 rupees also to me,request radha to send rs200 and rs11 also to me,request adhatu send 200 rupees and 11 rupees also to me,request adhatu send 200 rupees and 11 rupees also to me,request radha to send 200 rupees and 11 rupees also to me,request adhatu send 200 rupees and 11 rupees also to me,request adhatu send 200 rupees and 11 rupees also to me
"i want to invest in IPO,i want to invest in ipo","i want to invest in ipo,i want to invest in ipo","i want to invest in ipo,i want to invest in ipo",i want to invest in ipo,i want to invest in ipl,i want to invest in ipl,i want to invest in ipo,i want to invest in ipl,i want to invest in ipl,i want to invest in ipo,i want to invest in ipl,i want to invest in ipl
"from nagendra,from nagendra","from nagendra,from nagendra","from nagendra,from nagendra",from nagendra,from nagendra,from nagendra,from nagendra,from nagendra,from nagendra,from nagendra,from nagendra,from nagendra
"scanner,scanner","scanner,scanner","scanner,scanner",cner scanner,scanner,scanner,cner scanner,scanner,scanner,cner scanner,scanner,scanner
"QR code,qr code","qr code,qr code","qr code,qr code",q r code,qr code,qr code,q r code,qr code,qr code,q r code,qr code,qr code
"show my balance,show my balance","show my balance,show my balance","show my balance,show my balance",shw my balance,show my balance,show my balance,shw my balance,show my balance,show my balance,shw my balance,show my balance,show my balance
"send five hundred rupees to ajay has a gift,send 500 rupees to ajay has a gift","send rs500 to ajay has a gift,send 500 rupees to ajay has a gift","send 500 rupees to ajay has a gift,send 500 rupees to ajay has a gift",send five hundred rupees to ajaiy as a gift,send 500 rupees to ajay as a gift,send 500 rupees to ajay as a gift,send rs500 to ajaiy as a gift,send 500 rupees to ajay as a gift,send 500 rupees to ajay as a gift,send 500 rupees to ajaiy as a gift,send 500 rupees to ajay as a gift,send 500 rupees to ajay as a gift
"request five hundred rupees from shanthi,request 500 rupees from shanthi","request rs500 from shanthi,request 500 rupees from shanthi","request 500 rupees from shanthi,request 500 rupees from shanthi",request five hundred rupees from shanpg,request 500 rupees from shanti,request 500 rupees from shanti,request rs500 from shanpg,request 500 rupees from shanti,request 500 rupees from shanti,request 500 rupees from shanpg,request 500 rupees from shanti,request 500 rupees from shanti
"scan and send five thousand rupees,scan and send 5000 rupees","scan and send rs5000,scan and send 5000 rupees","scan and send 5000 rupees,scan and send 5000 rupees",scanons send five thousand rupees,scan and send 5000 rupees,scan and send 5000 rupees,scanons send rs5000,scan and send 5000 rupees,scan and send 5000 rupees,scanons send 5000 rupees,scan and send 5000 rupees,scan and send 5000 rupees
"send dad eleven hundred rupees for diwali has a gift,send dad 1100 rupees for diwali has a gift","send dad rs1100 for diwali has a gift,send dad 1100 rupees for diwali has a gift","send dad 1100 rupees for diwali has a gift,send dad 1100 rupees for diwali has a gift",sentd died hundred rupees for the vale as a gift,send dad 1100 rupees for diwali as a gift,send dad 1100 rupees for diwali as a gift,sentd died hundred rupees for the vale as a gift,send dad 1100 rupees for diwali as a gift,send dad 1100 rupees for diwali as a gift,sentd died 100 rupees for the vale as a gift,send dad 1100 rupees for diwali as a gift,send dad 1100 rupees for diwali as a gift
"please open a QR scanner to send five hundred rupees to shalu,please open a qr scanner to send 500 rupees to shalu","please open a qr scanner to send rs500 to shalu,please open a qr scanner to send 500 rupees to shalu","please open a qr scanner to send 500 rupees to shalu,please open a qr scanner to send 500 rupees to shalu",please open a qa scanner to send five hundred rupees to shalo,please open a qr scanner to send 500 rupees to shalu,please open a qr scanner to send 500 rupees to shalu,please open a qa scanner to send rs500 to shalo,please open a qr scanner to send 500 rupees to shalu,please open a qr scanner to send 500 rupees to shalu,please open a qa scanner to send 500 rupees to shalo,please open a qr scanner to send 500 rupees to shalu,please open a qr scanner to send 500 rupees to shalu
