References,transformed_references,indic_conformer_transcription_raw,indic_conformer_transcription,indic_conformer_wer,indic_conformer_pred_response,google_speech_transcription_raw,google_speech_transcription,google_speech_wer,google_speech_pred_response,slang_google_speech_transcription_raw,slang_google_speech_transcription,slang_google_speech_wer,slang_google_speech_pred_response,audio_links
"show starter and put twenty one rupees in the amount,show starter and put 21 rupees in the amount","show starter and put 21 rupees in the amount,show starter and put 21 rupees in the amount",shows gather and put twentyone rupees in amount,shows gather and put twentyone rupees in amount,0.4444444444444444,"{'intent': '', 'entities': [{}], 'text': 'shows gather and put twentyone rupees in amount'}",show scanner and put 21 rupees in amount,show scanner and put 21 rupees in amount,0.2222222222222222,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '21.0'}, 'payments_transaction_action': 'scan'}], 'text': 'show scanner and put 21 rupees in amount'}",show scanner and put 21 rupees in amount,show scanner and put 21 rupees in amount,0.2222222222222222,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '21.0'}, 'payments_transaction_action': 'scan'}], 'text': 'show scanner and put 21 rupees in amount'}",https://storage.googleapis.com/slang-audio-test-data/audio/fb0c9ad8-af0a-4ab8-9dce-0ae15e09c786.wav
"pay my DTH bill,pay my dth bill","pay my dth bill,pay my dth bill",pay may dth bill,pay may dth bill,0.25,"{'intent': 'payments_bill', 'entities': [{'payments_bill_action': 'pay', 'payments_bill_type': 'DTH'}], 'text': 'pay may dth bill'}",pay my DTH bill,pay my dth bill,0.0,"{'intent': 'payments_bill', 'entities': [{'payments_bill_action': 'pay', 'payments_bill_type': 'DTH'}], 'text': 'pay my dth bill'}",pay my DTH bill,pay my dth bill,0.0,"{'intent': 'payments_bill', 'entities': [{'payments_bill_action': 'pay', 'payments_bill_type': 'DTH'}], 'text': 'pay my dth bill'}",https://storage.googleapis.com/slang-audio-test-data/audio/fa61899b-052a-4b53-b7d4-e3ff6a290dab.wav
"please pay the minimum of five thousand rupees for my credit card bill,please pay the minimum of 500 rupees for my credit card bill","please pay the minimum of 5000 rupees for my credit card bill,please pay the minimum of 500 rupees for my credit card bill",please pay the minimum of five thousand rupees for my credit card bill,please pay the minimum of 5000 rupees for my credit card bill,0.0,"{'intent': 'payments_bill', 'entities': [{'payments_bill_type': 'Credit Card'}], 'text': 'please pay the minimum of 5000 rupees for my credit card bill'}",please pay the minimum of 5000 rupees for my credit card bill,please pay the minimum of 5000 rupees for my credit card bill,0.0,"{'intent': 'payments_bill', 'entities': [{'payments_bill_type': 'Credit Card'}], 'text': 'please pay the minimum of 5000 rupees for my credit card bill'}",please pay the minimum of 5000 rupees for my credit card bill,please pay the minimum of 5000 rupees for my credit card bill,0.0,"{'intent': 'payments_bill', 'entities': [{'payments_bill_type': 'Credit Card'}], 'text': 'please pay the minimum of 5000 rupees for my credit card bill'}",https://storage.googleapis.com/slang-audio-test-data/audio/fa6a612b-8f2e-4d9e-9794-270495811ae0.wav
"check the IPO listed in my App,check the i p o listed in my App,check the ipo listed in my app,check the i p o listed in my app","check the ipo listed in my app,check the i p 0 listed in my app,check the ipo listed in my app,check the i p 0 listed in my app",check the ipo listed in my app,check the ipo listed in my app,0.0,"{'intent': 'payments_transactions', 'entities': [{}], 'text': 'check the ipo listed in my app'}",check the IP listed in my app,check the ip listed in my app,0.14285714285714285,"{'intent': 'payments_transactions', 'entities': [{}], 'text': 'check the ip listed in my app'}",check the IP listed in my app,check the ip listed in my app,0.14285714285714285,"{'intent': 'payments_transactions', 'entities': [{}], 'text': 'check the ip listed in my app'}",https://storage.googleapis.com/slang-audio-test-data/audio/f86854f2-8304-470a-b267-cc9b0db7b917.wav
"send one thousand to satish,send 1000 to satish","send 1000 to satish,send 1000 to satish",send one thousand to satish,send 1000 to satish,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_name': 'satish', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '1000.0'}}], 'text': 'send 1000 to satish'}",send 1000 to Satish,send 1000 to satish,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_name': 'satish', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '1000.0'}}], 'text': 'send 1000 to satish'}",send 1000 to Satish,send 1000 to satish,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_name': 'satish', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '1000.0'}}], 'text': 'send 1000 to satish'}",https://storage.googleapis.com/slang-audio-test-data/audio/f9897d8e-4013-404b-8aa4-01939bbe6ed2.wav
"i want to clear my DTH outstanding,i want to clear my dth outstanding","i want to clear my dth outstanding,i want to clear my dth outstanding",i want to clear my dth outstanding,i want to clear my dth outstanding,0.0,"{'intent': 'payments_bill', 'entities': [{'payments_bill_type': 'DTH'}], 'text': 'i want to clear my dth outstanding'}",I want to clear my DTH outstanding,i want to clear my dth outstanding,0.0,"{'intent': 'payments_bill', 'entities': [{'payments_bill_type': 'DTH'}], 'text': 'i want to clear my dth outstanding'}",I want to clear my DTH outstanding,i want to clear my dth outstanding,0.0,"{'intent': 'payments_bill', 'entities': [{'payments_bill_type': 'DTH'}], 'text': 'i want to clear my dth outstanding'}",https://storage.googleapis.com/slang-audio-test-data/audio/f04865c8-4312-4c5f-9319-01c3a372313f.wav
"show me offers,show me offers","show me offers,show me offers",show me offers,show me offers,0.0,"{'intent': 'payments_navigation', 'entities': [{'payments_navigation_target': 'offers'}], 'text': 'show me offers'}",show me offers,show me offers,0.0,"{'intent': 'payments_navigation', 'entities': [{'payments_navigation_target': 'offers'}], 'text': 'show me offers'}",show me offers,show me offers,0.0,"{'intent': 'payments_navigation', 'entities': [{'payments_navigation_target': 'offers'}], 'text': 'show me offers'}",https://storage.googleapis.com/slang-audio-test-data/audio/f3628df0-447b-4623-bcd5-64aefc185694.wav
"send two hundred to Dr. Aishwarya for her consultation fees,send two hundred to doctor Aishwarya for her consultation fees,send 200 to dr. aishwarya for her consultation fees,send 200 to doctor aishwarya for her consultation fees","send 200 to dr aishwarya for her consultation fees,send 200 to doctor aishwarya for her consultation fees,send 200 to dr aishwarya for her consultation fees,send 200 to doctor aishwarya for her consultation fees",sent two hundred to dodr asharia for her consultation fees,sent 200 to dodr asharia for her consultation fees,0.3333333333333333,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '200.0'}}], 'text': 'sent 200 to dodr asharia for her consultation fees'}",send 202 doctor Aishwarya for her consultation fees,send 202 doctor aishwarya for her consultation fees,0.2222222222222222,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_name': 'aishwarya', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '202.0'}}], 'text': 'send 202 doctor aishwarya for her consultation fees'}",send 202 doctor Aishwarya for her consultation fees,send 202 doctor aishwarya for her consultation fees,0.2222222222222222,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_name': 'aishwarya', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '202.0'}}], 'text': 'send 202 doctor aishwarya for her consultation fees'}",https://storage.googleapis.com/slang-audio-test-data/audio/f236a752-3de0-41b6-93be-58122496ced0.wav
"pull up QR code scanner I want to pay,pull up q r code scanner I want to pay,pull up qr code scanner i want to pay,pull up q r code scanner i want to pay","pull up qr code scanner i want to pay,pull up q r code scanner i want to pay,pull up qr code scanner i want to pay,pull up q r code scanner i want to pay",pull up q r code scanner i want to pay ,pull up q r code scanner i want to pay,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'scan'}], 'text': 'pull up q r code scanner i want to pay'}",pull up QR code scanner I want to pay,pull up qr code scanner i want to pay,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'scan'}], 'text': 'pull up qr code scanner i want to pay'}",pull up QR code scanner I want to pay,pull up qr code scanner i want to pay,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'scan'}], 'text': 'pull up qr code scanner i want to pay'}",https://storage.googleapis.com/slang-audio-test-data/audio/f92e6155-cead-4e42-8a01-fdcb5c681281.wav
"pay five hundred rupees has DTH bill,pay 500 rupees has dth bill","pay 500 rupees has dth bill,pay 500 rupees has dth bill",pay five hundred rupees as ths bill,pay 500 rupees as ths bill,0.3333333333333333,"{'intent': 'payments_bill', 'entities': [{'payments_bill_action': 'pay'}], 'text': 'pay 500 rupees as ths bill'}",pay 500 Rupees as DTH bill,pay 500 rupees as dth bill,0.16666666666666666,"{'intent': 'payments_bill', 'entities': [{'payments_bill_action': 'pay', 'payments_bill_type': 'DTH'}], 'text': 'pay 500 rupees as dth bill'}",pay 500 Rupees as DTH bill,pay 500 rupees as dth bill,0.16666666666666666,"{'intent': 'payments_bill', 'entities': [{'payments_bill_action': 'pay', 'payments_bill_type': 'DTH'}], 'text': 'pay 500 rupees as dth bill'}",https://storage.googleapis.com/slang-audio-test-data/audio/f50b5353-4fb2-4c59-83b4-f4957c2ee83e.wav
"request three hundred rupees from vishnu,request 300 rupees from vishnu","request 300 rupees from vishnu,request 300 rupees from vishnu",request three hundred rupees from vishnu,request 300 rupees from vishnu,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '300.0'}, 'payments_transaction_action': 'request', 'payments_name': 'vishnu'}], 'text': 'request 300 rupees from vishnu'}",request 300 rupees from Vishnu,request 300 rupees from vishnu,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '300.0'}, 'payments_transaction_action': 'request', 'payments_name': 'vishnu'}], 'text': 'request 300 rupees from vishnu'}",request 300 rupees from Vishnu,request 300 rupees from vishnu,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '300.0'}, 'payments_transaction_action': 'request', 'payments_name': 'vishnu'}], 'text': 'request 300 rupees from vishnu'}",https://storage.googleapis.com/slang-audio-test-data/audio/f042fdf7-ad3e-4f99-b3d4-1cf8c65a68ab.wav
"pay my electricity bill,pay my electricity bill","pay my electricity bill,pay my electricity bill",pay my electricity bill,pay my electricity bill,0.0,"{'intent': 'payments_bill', 'entities': [{'payments_bill_action': 'pay', 'payments_bill_type': 'Electricity'}], 'text': 'pay my electricity bill'}",pay my electricity bill,pay my electricity bill,0.0,"{'intent': 'payments_bill', 'entities': [{'payments_bill_action': 'pay', 'payments_bill_type': 'Electricity'}], 'text': 'pay my electricity bill'}",pay my electricity bill,pay my electricity bill,0.0,"{'intent': 'payments_bill', 'entities': [{'payments_bill_action': 'pay', 'payments_bill_type': 'Electricity'}], 'text': 'pay my electricity bill'}",https://storage.googleapis.com/slang-audio-test-data/audio/f37aab91-5ebb-4e80-bf62-a2d851058cd5.wav
"Accept payment from razorpay,accept payment from razorpay","accept payment from razorpay,accept payment from razorpay",accept payment from raiser pay  ,accept payment from raiser pay,0.5,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_name': 'accept payment from raiser'}], 'text': 'accept payment from raiser pay'}",accept payment from Razer pay,accept payment from razer pay,0.5,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_name': 'accept payment from razer'}], 'text': 'accept payment from razer pay'}",accept payment from Razer pay,accept payment from razer pay,0.5,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_name': 'accept payment from razer'}], 'text': 'accept payment from razer pay'}",https://storage.googleapis.com/slang-audio-test-data/audio/f15e0369-c243-495e-8211-128f1c7ae388.wav
"show me any offers which are there in the app,show me any offers which are there in the app","show me any offers which are there in the app,show me any offers which are there in the app",show me any offers which are there in the app ,show me any offers which are there in the app,0.0,"{'intent': 'payments_navigation', 'entities': [{}], 'text': 'show me any offers which are there in the app'}",show me any offers which are there in the app,show me any offers which are there in the app,0.0,"{'intent': 'payments_navigation', 'entities': [{}], 'text': 'show me any offers which are there in the app'}",show me any offers which are there in the app,show me any offers which are there in the app,0.0,"{'intent': 'payments_navigation', 'entities': [{}], 'text': 'show me any offers which are there in the app'}",https://storage.googleapis.com/slang-audio-test-data/audio/f9aab429-b9a6-4319-8535-1a66c4696188.wav
"one thousand from jagan,1000 from jagan","1000 from jagan,1000 from jagan",weousan from ogan ,weousan from ogan,0.6666666666666666,"{'intent': 'payments_transactions', 'entities': [{}], 'text': 'weousan from ogan'}",1057,1057,1.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '1057.0'}}], 'text': '1057'}",1057,1057,1.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '1057.0'}}], 'text': '1057'}",https://storage.googleapis.com/slang-audio-test-data/audio/f8f6fd4a-0528-43ef-aedf-8a28c236aeb5.wav
"send two hundred rupees to my dad,send 200 rupees to my dad","send 200 rupees to my dad,send 200 rupees to my dad",send two hundred rupees to my dad,send 200 rupees to my dad,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '200.0'}, 'payments_transaction_action': 'send', 'payments_name': 'dad'}], 'text': 'send 200 rupees to my dad'}",send 200 rupees to my dad,send 200 rupees to my dad,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '200.0'}, 'payments_transaction_action': 'send', 'payments_name': 'dad'}], 'text': 'send 200 rupees to my dad'}",send 200 rupees to my dad,send 200 rupees to my dad,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '200.0'}, 'payments_transaction_action': 'send', 'payments_name': 'dad'}], 'text': 'send 200 rupees to my dad'}",https://storage.googleapis.com/slang-audio-test-data/audio/f6ce136c-5171-45dd-ab49-6fdf18ad7d0d.wav
"transfer ten thousand,transfer 10000","transfer 10000,transfer 10000",transfer ten ,transfer 10,0.5,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '10.0'}}], 'text': 'transfer 10'}",transfer 10000,transfer 10000,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '10000.0'}}], 'text': 'transfer 10000'}",transfer 10000,transfer 10000,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '10000.0'}}], 'text': 'transfer 10000'}",https://storage.googleapis.com/slang-audio-test-data/audio/f3ab2a1c-ba42-42aa-9f4d-811a79394af0.wav
"can u gift hundred bucks to my friend,can u gift 100 bucks to my friend","can u gift 100 bucks to my friend,can u gift 100 bucks to my friend",can you gift hundred bucks to my friend,can you gift 100 bucks to my friend,0.125,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send'}], 'text': 'can you gift 100 bucks to my friend'}",can you gift hundred bucks to my friend,can you gift 100 bucks to my friend,0.125,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send'}], 'text': 'can you gift 100 bucks to my friend'}",can you gift hundred bucks to my friend,can you gift 100 bucks to my friend,0.125,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send'}], 'text': 'can you gift 100 bucks to my friend'}",https://storage.googleapis.com/slang-audio-test-data/audio/f1fb2931-1d47-403b-aa72-fd7b1c2c6b2f.wav
"ask vaishnav to pay five hundred rupees,ask vaishnav to pay five hundred rupees","ask vaishnav to pay 500 rupees,ask vaishnav to pay 500 rupees",ask ayshnav to pay five hundred rupees,ask ayshnav to pay 500 rupees,0.16666666666666666,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '500.0'}, 'payments_transaction_action': 'request'}], 'text': 'ask ayshnav to pay 500 rupees'}",ask Vaishnavi to pay 500 rupees,ask vaishnavi to pay 500 rupees,0.16666666666666666,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '500.0'}, 'payments_transaction_action': 'request', 'payments_name': 'vaishnavi'}], 'text': 'ask vaishnavi to pay 500 rupees'}",ask Vaishnavi to pay 500 rupees,ask vaishnavi to pay 500 rupees,0.16666666666666666,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '500.0'}, 'payments_transaction_action': 'request', 'payments_name': 'vaishnavi'}], 'text': 'ask vaishnavi to pay 500 rupees'}",https://storage.googleapis.com/slang-audio-test-data/audio/f1f0a348-87a0-484d-94da-0c30fe5f38b1.wav
"please ask dr. aishwarya to send one thousand rupees as a refund,please ask doctor aishwarya to send one thousand rupees as a refund,please ask dr. aishwarya to send 1000 rupees as a refund,please ask doctor aishwarya to send 1000 rupees as a refund","please ask dr aishwarya to send 1000 rupees as a refund,please ask doctor aishwarya to send 1000 rupees as a refund,please ask dr aishwarya to send 1000 rupees as a refund,please ask doctor aishwarya to send 1000 rupees as a refund",please ask dr ashwaria to send one thousand rupees as a refund,please ask dr ashwaria to send 1000 rupees as a refund,0.09090909090909091,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '1000.0'}, 'payments_transaction_action': 'send'}], 'text': 'please ask dr ashwaria to send 1000 rupees as a refund'}", as a refund,as a refund,0.7272727272727273,"{'intent': 'payments_transactions', 'entities': [{}], 'text': 'as a refund'}", as a refund,as a refund,0.7272727272727273,"{'intent': 'payments_transactions', 'entities': [{}], 'text': 'as a refund'}",https://storage.googleapis.com/slang-audio-test-data/audio/f0c2f94a-d9ce-469a-b830-80ecf04c2e6e.wav
