File_name,Reference_transcript ,Language,google_speech_transcription,google_speech_wer,google_speech_slang_score,slang_google_speech_transcription,slang_google_speech_wer,slang_google_speech_slang_score,indic_wav2vec_transcription,indic_wav2vec_wer,indic_wav2vec_slang_score,slang_indic_wav2vec_transcription,slang_indic_wav2vec_wer,slang_indic_wav2vec_slang_score,audio_links
fa6a612b-8f2e-4d9e-9794-270495811ae0,please pay the minimum of 5000 rupees for my credit card bill,en-IN,please pay the minimum of five thousand rupees for my credit card bill,0.16666666666666666,1.0,please pay the minimum of five thousand rupees for my credit card bill,0.16666666666666666,1.0,please pay the minimum of 5000 rupees for my credit card bill,0.0,1.0,please pay the minimum of 5000 rupees for my credit card bill,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/fa6a612b-8f2e-4d9e-9794-270495811ae0.wav
f86854f2-8304-470a-b267-cc9b0db7b917,check the IPO listed in my App,en-IN,today pure listed in my app,0.42857142857142855,1.0,today pure listed in my app,0.42857142857142855,1.0,check the ipo listed in my app,0.0,1.0,check the ipo listed in my app,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/f86854f2-8304-470a-b267-cc9b0db7b917.wav
f9897d8e-4013-404b-8aa4-01939bbe6ed2,send 1000 to satish,en-IN,send 1000 to satish,0.0,1.0,send 1000 to satish,0.0,1.0,and to satisfy,0.75,0.5,and to satisfy,0.75,0.5,https://storage.googleapis.com/slang-audio-test-data/audio/f9897d8e-4013-404b-8aa4-01939bbe6ed2.wav
f04865c8-4312-4c5f-9319-01c3a372313f,i want to clear my DTH outstanding,en-IN,i want to clear my dth outstanding,0.0,1.0,i want to clear my dth outstanding,0.0,1.0,i want to clear my dth outstanding,0.0,1.0,i want to clear my dth outstanding,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/f04865c8-4312-4c5f-9319-01c3a372313f.wav
f3628df0-447b-4623-bcd5-64aefc185694,show me offers,en-IN,show me office,0.3333333333333333,1.0,show me office,0.3333333333333333,1.0,show me offers,0.0,1.0,show me offers,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/f3628df0-447b-4623-bcd5-64aefc185694.wav
f236a752-3de0-41b6-93be-58122496ced0,send 200 to Dr. Aishwarya for her consultation fees,en-IN,send 200 to doctor aishwarya for her cancellation fees,0.2222222222222222,1.0,send 200 to doctor aishwarya for her cancellation fees,0.2222222222222222,1.0,to say for her consultation fees,0.4444444444444444,0.4,to say for her consultation fees,0.4444444444444444,0.4,https://storage.googleapis.com/slang-audio-test-data/audio/f236a752-3de0-41b6-93be-58122496ced0.wav
f92e6155-cead-4e42-8a01-fdcb5c681281,pull up QR code scanner I want to pay,en-IN,pull up qr-code scanner i want to pay,0.2222222222222222,1.0,pull up qr-code scanner i want to pay,0.2222222222222222,1.0,qr code scanner  i want to pay,0.2222222222222222,1.0,qr code scanner  i want to pay,0.2222222222222222,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/f92e6155-cead-4e42-8a01-fdcb5c681281.wav
f50b5353-4fb2-4c59-83b4-f4957c2ee83e,pay 500 rupees has DTH bill,en-IN,buffet indian rupees seth bill,0.6666666666666666,0.33333333333333337,buffet indian rupees seth bill,0.6666666666666666,0.33333333333333337,pay rupees as the bill,0.5,0.6666666666666667,pay rupees as the bill,0.5,0.6666666666666667,https://storage.googleapis.com/slang-audio-test-data/audio/f50b5353-4fb2-4c59-83b4-f4957c2ee83e.wav
f042fdf7-ad3e-4f99-b3d4-1cf8c65a68ab,request 300 rupees from vishnu,en-IN,request 300 rupees from vishnu,0.0,1.0,request 300 rupees from vishnu,0.0,1.0,request rupees from wine,0.4,0.25,request rupees from wine,0.4,0.25,https://storage.googleapis.com/slang-audio-test-data/audio/f042fdf7-ad3e-4f99-b3d4-1cf8c65a68ab.wav
f37aab91-5ebb-4e80-bf62-a2d851058cd5,pay my electricity bill,en-IN,pay my electricity bill,0.0,1.0,pay my electricity bill,0.0,1.0,my electricity bill,0.25,0.6666666666666667,my electricity bill,0.25,0.6666666666666667,https://storage.googleapis.com/slang-audio-test-data/audio/f37aab91-5ebb-4e80-bf62-a2d851058cd5.wav
f15e0369-c243-495e-8211-128f1c7ae388,Accept payment from razorpay,en-IN,accept payment from reserve pay,0.5,0.0,accept payment from reserve pay,0.5,0.0,accept payment from raiser pay,0.5,0.0,accept payment from raiser pay,0.5,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/f15e0369-c243-495e-8211-128f1c7ae388.wav
f9aab429-b9a6-4319-8535-1a66c4696188,show me any offers which are there in the app,en-IN,show me any offers which are there in the app,0.0,1.0,show me any offers which are there in the app,0.0,1.0,show me any offers which are there in the app,0.0,1.0,show me any offers which are there in the app,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/f9aab429-b9a6-4319-8535-1a66c4696188.wav
f8f6fd4a-0528-43ef-aedf-8a28c236aeb5,1000 from jagan,en-IN,1000 from government,0.3333333333333333,0.6,1000 from government,0.3333333333333333,0.6,,1.0,0.0,,1.0,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/f8f6fd4a-0528-43ef-aedf-8a28c236aeb5.wav
f6ce136c-5171-45dd-ab49-6fdf18ad7d0d,send 200 rupees to my dad,en-IN,send two hundred rupees to my dad,0.3333333333333333,1.0,send 200 rupees to my dad,0.0,1.0,send rupees to my dad,0.16666666666666666,0.5,send rupees to my dad,0.16666666666666666,0.5,https://storage.googleapis.com/slang-audio-test-data/audio/f6ce136c-5171-45dd-ab49-6fdf18ad7d0d.wav
f3ab2a1c-ba42-42aa-9f4d-811a79394af0,transfer 10000,en-IN,transfer 10000,0.0,1.0,transfer 10000,0.0,1.0,transfer,0.5,0.5,transfer,0.5,0.5,https://storage.googleapis.com/slang-audio-test-data/audio/f3ab2a1c-ba42-42aa-9f4d-811a79394af0.wav
f1fb2931-1d47-403b-aa72-fd7b1c2c6b2f,can u gift 100 bucks to my friend,en-IN,can you gift hundred bucks to my friend,0.25,1.0,can you gift 100 bucks to my friend,0.125,1.0,can you give 100 bucks to my friend,0.25,0.6666666666666667,can you give 100 bucks to my friend,0.25,0.6666666666666667,https://storage.googleapis.com/slang-audio-test-data/audio/f1fb2931-1d47-403b-aa72-fd7b1c2c6b2f.wav
f1f0a348-87a0-484d-94da-0c30fe5f38b1,ask vaishnav to pay 500 rupees,en-IN,ask voice note to pay find rubies,0.6666666666666666,0.5,ask voice 0e to pay find rubies,0.6666666666666666,0.5,question to pay rupees,0.5,0.19999999999999996,question to pay rupees,0.5,0.19999999999999996,https://storage.googleapis.com/slang-audio-test-data/audio/f1f0a348-87a0-484d-94da-0c30fe5f38b1.wav
f0c2f94a-d9ce-469a-b830-80ecf04c2e6e,please ask dr. aishwarya to send 1000 rupees as a refund,en-IN,as a refund,0.7272727272727273,0.0,as a refund,0.7272727272727273,0.0,please ask every to send us rupees as a refund,0.2727272727272727,0.5,please ask every to send us rupees as a refund,0.2727272727272727,0.5,https://storage.googleapis.com/slang-audio-test-data/audio/f0c2f94a-d9ce-469a-b830-80ecf04c2e6e.wav
eef55f8a-d7ff-4a09-9e59-763c868cc6b1,check my account balance,en-IN,check my account balance,0.0,1.0,check my account balance,0.0,1.0,check my account balance,0.0,1.0,check my account balance,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/eef55f8a-d7ff-4a09-9e59-763c868cc6b1.wav
eec5bfdc-0efe-4297-b8e3-878253a8b6ad,scan and pay 500 rupees,en-IN,scan and pay finder rupees,0.2,0.5,scan and pay finder rupees,0.2,0.5,and pay rupees,0.4,0.0,and pay rupees,0.4,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/eec5bfdc-0efe-4297-b8e3-878253a8b6ad.wav
ee4225ee-6720-45c8-9a2d-17bf033cbb67,400,en-IN,400,0.0,1.0,400,0.0,1.0,,1.0,0.0,,1.0,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/ee4225ee-6720-45c8-9a2d-17bf033cbb67.wav
ee76dd2c-7ca0-45de-9e93-cfb382bbe256,please show QR code scanner,en-IN,please show qr-code scanner,0.4,0.0,please show qr-code scanner,0.4,0.0,our code scatter,0.8,0.0,our code scatter,0.8,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/ee76dd2c-7ca0-45de-9e93-cfb382bbe256.wav
ee1cb199-b667-4c82-bbf6-d43ae3bba1da,pay my phone bill to airtel,en-IN,pay my phone bill,0.3333333333333333,1.0,pay my phone bill,0.3333333333333333,1.0,my phone bill to it,0.3333333333333333,0.5,my phone bill to it,0.3333333333333333,0.5,https://storage.googleapis.com/slang-audio-test-data/audio/ee1cb199-b667-4c82-bbf6-d43ae3bba1da.wav
edb889eb-4d4d-44a1-bbe3-49a84bfc45f4,i want to make a transaction to ajay 400 rupees,en-IN,i want to make a transaction to a j foreign rupees,0.3,0.6,i want to make a transaction to a j foreign rupees,0.3,0.6,i want to make a transaction to rupees,0.2,0.6,i want to make a transaction to rupees,0.2,0.6,https://storage.googleapis.com/slang-audio-test-data/audio/edb889eb-4d4d-44a1-bbe3-49a84bfc45f4.wav
ed28b53b-6716-4521-a08c-2f171187ee60,3400 pnb account please tell the balance,en-IN,3400 pnb bank account please tell the balance,0.14285714285714285,1.0,3400 pnb bank account please tell the balance,0.14285714285714285,1.0,pb bank account please tell the balance,0.2857142857142857,1.0,pb bank account please tell the balance,0.2857142857142857,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/ed28b53b-6716-4521-a08c-2f171187ee60.wav
ed1ff3dd-acb8-438d-85ce-d69a08d3f9be,give tulsi a gift of 600 rupees,en-IN,give a gift of 600 piece,0.2857142857142857,0.33333333333333337,give a gift of 600 piece,0.2857142857142857,0.33333333333333337,give us a gift of rupees,0.2857142857142857,0.33333333333333337,give us a gift of rupees,0.2857142857142857,0.33333333333333337,https://storage.googleapis.com/slang-audio-test-data/audio/ed1ff3dd-acb8-438d-85ce-d69a08d3f9be.wav
ed1c6cbe-4f44-4516-af18-4bb100eb0bef,show me my transactions,en-IN,show me my transactions,0.0,1.0,show me my transactions,0.0,1.0,so my transactions,0.5,0.5,so my transactions,0.5,0.5,https://storage.googleapis.com/slang-audio-test-data/audio/ed1c6cbe-4f44-4516-af18-4bb100eb0bef.wav
eb606764-e7a2-46ae-9497-3c4f2cca31c7,bank balance,en-IN,bank balance,0.0,1.0,bank balance,0.0,1.0,,1.0,0.0,,1.0,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/eb606764-e7a2-46ae-9497-3c4f2cca31c7.wav
eb92f45f-7952-4295-9f37-178d69126ed9,pay my gas bill,en-IN,pay my gas bill,0.0,1.0,pay my gas bill,0.0,1.0,my gas bill,0.25,0.6666666666666667,my gas bill,0.25,0.6666666666666667,https://storage.googleapis.com/slang-audio-test-data/audio/eb92f45f-7952-4295-9f37-178d69126ed9.wav
eb2a10f5-77aa-4217-9ecd-44e3f0e47c8b,how much have i spent in last month,en-IN,how much have i spent in last month,0.0,1.0,how much have i spent in last month,0.0,1.0,how much have i spent in last month,0.0,1.0,how much have i spent in last month,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/eb2a10f5-77aa-4217-9ecd-44e3f0e47c8b.wav
e2401752-958b-403a-9da1-682d41729caa,approve my current payments,en-IN,approve my current payments,0.0,1.0,approve my current payments,0.0,1.0,approve my current payments,0.0,1.0,approve my current payments,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/e2401752-958b-403a-9da1-682d41729caa.wav
e461308d-bffc-4811-b5ac-6ed4a1a91040,i would like to make a donation to akshaya patra,en-IN,i would like to make a donation to akshaya patra,0.0,1.0,i would like to make a donation to akshaya patra,0.0,1.0,i would like to make a donation to accept,0.2,0.25,i would like to make a donation to accept,0.2,0.25,https://storage.googleapis.com/slang-audio-test-data/audio/e461308d-bffc-4811-b5ac-6ed4a1a91040.wav
e146776d-ec02-49c8-b495-7b4a4613d46a,infinite,en-IN,infinite,0.0,1.0,infinite,0.0,1.0,infinite,0.0,1.0,infinite,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/e146776d-ec02-49c8-b495-7b4a4613d46a.wav
e17415e4-71e1-42fe-8c80-c43e2e704063,open QR code,en-IN,open qr code,0.0,1.0,open qr code,0.0,1.0,open qr code,0.0,1.0,open qr code,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/e17415e4-71e1-42fe-8c80-c43e2e704063.wav
e4698de2-52b9-4d26-9d45-8cc6c900fba4,donation to PM cares fund,en-IN,donation to pm cares fund,0.0,1.0,donation to pm cares fund,0.0,1.0,donation to pm cares fund,0.0,1.0,donation to pm cares fund,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/e4698de2-52b9-4d26-9d45-8cc6c900fba4.wav
e4619b03-a874-4a0b-8294-f0117a40a087,last transaction,en-IN,last transaction,0.0,1.0,last transaction,0.0,1.0,last transaction,0.0,1.0,last transaction,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/e4619b03-a874-4a0b-8294-f0117a40a087.wav
e3543c36-0ead-4766-ab36-1a2281d70f43,approve my current transaction,en-IN,i'm through my current transaction,0.5,1.0,i'm through my current transaction,0.5,1.0,my current transaction,0.25,1.0,my current transaction,0.25,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/e3543c36-0ead-4766-ab36-1a2281d70f43.wav
e944a5d0-6bef-4a7f-bfda-722186869a61,can you donate 2000 rupees on my behalf to the PM care fund,en-IN,can you donate to thousand degrees on my behalf to the pm cares fund,0.3076923076923077,0.5,can you donate 2000 degrees on my behalf to the pm cares fund,0.15384615384615385,0.6666666666666667,can you donate 2000 rupees on my behalf to the pm care fund,0.0,1.0,can you donate 2000 rupees on my behalf to the pm care fund,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/e944a5d0-6bef-4a7f-bfda-722186869a61.wav
e105bcf6-310b-4783-aa0d-fab6da6a125c,i want to invest in the nykaa IPO,en-IN,i want to invest in the nike apo,0.25,1.0,i want to invest in the nike apo,0.25,1.0,i want to invest in the ipo,0.125,1.0,i want to invest in the ipo,0.125,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/e105bcf6-310b-4783-aa0d-fab6da6a125c.wav
e96ce484-ccc9-4411-a0ec-0268fd4b8ee7,donate 5000 rupees to the ,en-IN,donate 5000 rupees to the,0.0,1.0,donate 5000 rupees to the,0.0,1.0,rupees to the,0.4,0.5,rupees to the,0.4,0.5,https://storage.googleapis.com/slang-audio-test-data/audio/e96ce484-ccc9-4411-a0ec-0268fd4b8ee7.wav
e84ade3c-aa6c-43c0-a6f0-0a7af43b42da,open QR code to scan and pay 1000 rupees ,en-IN,open q r code to scan and pay a thousand rupees,0.4444444444444444,1.0,open q r code to scan and pay a thousand rupees,0.4444444444444444,1.0,qr code to scan and pay us rupees,0.2222222222222222,0.6666666666666667,qr code to scan and pay us rupees,0.2222222222222222,0.6666666666666667,https://storage.googleapis.com/slang-audio-test-data/audio/e84ade3c-aa6c-43c0-a6f0-0a7af43b42da.wav
e66e3475-5bb9-4a63-8965-9157bb14361b,send 500 rupees to Dr. neelam for her dental consultation fees,en-IN,send 500 rupees to dr nilam for a dental consultation fees,0.18181818181818182,0.6666666666666667,send 500 rupees to dr nilam for a dental consultation fees,0.18181818181818182,0.6666666666666667,rupees to nil for her dental consultation fees,0.36363636363636365,0.0,rupees to nil for her dental consultation fees,0.36363636363636365,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/e66e3475-5bb9-4a63-8965-9157bb14361b.wav
e59a24d7-2046-4e72-a85a-4f6a116344c6,pay my fastag bill,en-IN,pay my past tax bill,0.5,0.6666666666666667,pay my past tax bill,0.5,0.6666666666666667,my first tag bill,0.75,0.33333333333333337,my first tag bill,0.75,0.33333333333333337,https://storage.googleapis.com/slang-audio-test-data/audio/e59a24d7-2046-4e72-a85a-4f6a116344c6.wav
e57fc772-11e3-414b-8a0c-520e8d285396,request 400 from anjali,en-IN,request 400 from anjali,0.0,1.0,request 400 from anjali,0.0,1.0,request from anjali,0.25,0.75,request from anjali,0.25,0.75,https://storage.googleapis.com/slang-audio-test-data/audio/e57fc772-11e3-414b-8a0c-520e8d285396.wav
e23a74eb-1db7-46d9-92f8-af5bc020654d,show my account balance for HDFC account,en-IN,show my account balance for hdfc account,0.0,1.0,show my account balance for hdfc account,0.0,1.0,so my account balance for hdfc account,0.14285714285714285,0.0,so my account balance for hdfc account,0.14285714285714285,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/e23a74eb-1db7-46d9-92f8-af5bc020654d.wav
e19e5ae6-e814-4a98-8969-cd63de3cbf2a,please open the Qr scanner of rupees 102.50,en-IN,please open a qr scanner of rupees 1025 0,0.375,0.33333333333333337,please open a qr scanner of rupees 1025 0,0.375,0.33333333333333337,please open a scanner of rupees t,0.375,0.0,please open a scanner of rupees t,0.375,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/e19e5ae6-e814-4a98-8969-cd63de3cbf2a.wav
e08c14ef-97f9-47f7-8ded-a5d153b54cc2,transfer 10000 to EVG abhi,en-IN,transfer 10002 e v g a b,1.2,0.19999999999999996,transfer 10002 e v g a b,1.2,0.19999999999999996,transfers to eb,0.8,0.0,transfers to eb,0.8,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/e08c14ef-97f9-47f7-8ded-a5d153b54cc2.wav
e7be7084-d747-44cc-8ee3-b9f843eaccfc,pay my internet bill,en-IN,pay my internet bill,0.0,1.0,pay my internet bill,0.0,1.0,pay my internet bill,0.0,1.0,pay my internet bill,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/e7be7084-d747-44cc-8ee3-b9f843eaccfc.wav
e4dc0b3f-050c-4802-929b-8494f5807f1e,PO,en-IN,deal,1.0,1.0,deal,1.0,1.0,,1.0,1.0,,1.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/e4dc0b3f-050c-4802-929b-8494f5807f1e.wav
e3f42e33-dead-4e7a-9349-5db5af58e710,pay my cable bill for 252 rupees,en-IN,pay my cable bill for 250 to rupees,0.2857142857142857,0.0,pay my cable bill for 250 to rupees,0.2857142857142857,0.0,pay my cable bill for rupees,0.14285714285714285,0.0,pay my cable bill for rupees,0.14285714285714285,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/e3f42e33-dead-4e7a-9349-5db5af58e710.wav
e1db3384-7fd6-448e-8a57-6cde5dbeb4f8,any offers if i do payment of 5000 to a person,en-IN,any offers aveda payment of 5000 to a percent,0.36363636363636365,0.0,any offers aveda payment of 5000 to a percent,0.36363636363636365,0.0,you offer if i do payment of to a person,0.2727272727272727,1.0,you offer if i do payment of to a person,0.2727272727272727,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/e1db3384-7fd6-448e-8a57-6cde5dbeb4f8.wav
e0cbbd27-21ef-477f-af40-c29b0d52396e,get 500 rupees from dad,en-IN,get 500 rupees from dad,0.0,1.0,get 500 rupees from dad,0.0,1.0,get rupees from dad,0.2,0.25,get rupees from dad,0.2,0.25,https://storage.googleapis.com/slang-audio-test-data/audio/e0cbbd27-21ef-477f-af40-c29b0d52396e.wav
dfa2d87a-5816-45b7-a6c2-f93949424e42,hey pay all the pending request,en-IN,hey bay all the pending request,0.16666666666666666,0.0,hey bay all the pending request,0.16666666666666666,0.0,pay all the pending requests,0.3333333333333333,0.0,pay all the pending requests,0.3333333333333333,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/dfa2d87a-5816-45b7-a6c2-f93949424e42.wav
de6345f1-1280-4138-8dac-6e83e1c0b182,gift vijay 6000 rupees,en-IN,give to bj 6000 rupees,0.75,0.25,give to bj 6000 rupees,0.75,0.25,rupees,0.75,0.0,rupees,0.75,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/de6345f1-1280-4138-8dac-6e83e1c0b182.wav
de951c42-d4e8-4354-a2a5-051c3bc55f38,send 6000 to hariharan,en-IN,send 6002,0.75,0.19999999999999996,send 6002,0.75,0.19999999999999996,are here,1.0,0.0,are here,1.0,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/de951c42-d4e8-4354-a2a5-051c3bc55f38.wav
de77f92e-847e-49aa-883a-1df52da509ba,request shradha to send 200 rupees and 11 rupees also to me,en-IN,request a third to send two hundred rupees and 11 rupees also to me,0.3333333333333333,0.75,request a third to send two hundred rupees and 11 rupees also to me,0.3333333333333333,0.75,request radha to send rupees and rupees  also to me,0.25,0.4,request radha to send rupees and rupees  also to me,0.25,0.4,https://storage.googleapis.com/slang-audio-test-data/audio/de77f92e-847e-49aa-883a-1df52da509ba.wav
de0cb7af-2bd3-4477-9c9b-ef8e08019922,i want to invest in IPO,en-IN,i want to invest in ibo,0.16666666666666666,1.0,i want to invest in ibo,0.16666666666666666,1.0,i want to invest in it,0.16666666666666666,1.0,i want to invest in it,0.16666666666666666,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/de0cb7af-2bd3-4477-9c9b-ef8e08019922.wav
ddf8cf7c-5fc6-4010-a8ca-2f7ca1fa22d9,from nagendra,en-IN,from nagendra,0.0,1.0,from nagendra,0.0,1.0,from agenda,0.5,0.6666666666666667,from agenda,0.5,0.6666666666666667,https://storage.googleapis.com/slang-audio-test-data/audio/ddf8cf7c-5fc6-4010-a8ca-2f7ca1fa22d9.wav
dd673c98-a4ef-4ec9-9021-9d41a46ee7a1,scanner,en-IN,scanner,0.0,1.0,scanner,0.0,1.0,,1.0,0.0,,1.0,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/dd673c98-a4ef-4ec9-9021-9d41a46ee7a1.wav
dd87ea5c-7df7-47d6-a519-a0665b7e8d5a,QR code,en-IN,q r code,1.0,0.0,q r code,1.0,0.0,code,0.5,0.0,code,0.5,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/dd87ea5c-7df7-47d6-a519-a0665b7e8d5a.wav
dd72ce3d-e2e2-4715-8b1a-d491a4d530a0,show my balance,en-IN,show my balance,0.0,1.0,show my balance,0.0,1.0,so my balance,0.3333333333333333,0.5,so my balance,0.3333333333333333,0.5,https://storage.googleapis.com/slang-audio-test-data/audio/dd72ce3d-e2e2-4715-8b1a-d491a4d530a0.wav
dd5e779c-f5d5-40bd-916a-a6792d188035,send 500 rupees to ajay has a gift,en-IN,send 500 rupees to a day as a gift,0.375,0.6,send 500 rupees to a day as a gift,0.375,0.6,send rupees to as a gift,0.375,0.25,send rupees to as a gift,0.375,0.25,https://storage.googleapis.com/slang-audio-test-data/audio/dd5e779c-f5d5-40bd-916a-a6792d188035.wav
dccb8fef-02d3-4835-9643-43441fcde025,request 500 rupees from shanthi,en-IN,request 500 rupees from shanty,0.2,0.6,request 500 rupees from shanty,0.2,0.6,rupees from sat,0.6,0.0,rupees from sat,0.6,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/dccb8fef-02d3-4835-9643-43441fcde025.wav
